"","X","Country","label","GDP","amount"
"149",2517,"Sweden","2004",42442.22,5480.79
"148",2516,"Sweden","2005",4385.35,-38056.87
"147",2515,"Sweden","2006",46256.47,41871.12
"146",2514,"Sweden","2007",53324.38,7067.91
"145",2513,"Sweden","2008",55746.84,2422.46
"144",2512,"Sweden","2009",4627.6,-51119.24
"143",2511,"Sweden","2010",5276.26,648.66
"142",2510,"Sweden","2011",59593.29,54317.03
"141",2509,"Sweden","2012",57134.78,-2458.51
"140",2508,"Sweden","2013",6283.25,-50851.53
"139",2507,"Sweden","2014",5918.2,-365.05
"138",2506,"Sweden","2015",5585.26,-332.94
"153",2521,"Sweden","Begin",29283.55,29283.55
"137",2506,"Sweden","End",5585.26,0
"169",2536,"Switzerland","2001",38538.64,725.41
"168",2535,"Switzerland","2002",41336.72,2798.08
"167",2534,"Switzerland","2003",4796.56,-36540.16
"166",2533,"Switzerland","2004",53255.98,48459.42
"165",2532,"Switzerland","2005",54797.55,1541.57
"164",2531,"Switzerland","2006",57348.93,2551.38
"163",2530,"Switzerland","2007",63223.47,5874.54
"162",2529,"Switzerland","2008",72119.57,8896.1
"161",2528,"Switzerland","2009",69672.47,-2447.1
"160",2527,"Switzerland","2010",74276.72,4604.25
"159",2526,"Switzerland","2011",87998.44,13721.72
"158",2525,"Switzerland","2012",83164.39,-4834.05
"157",2524,"Switzerland","2013",84658.89,1494.5
"156",2523,"Switzerland","2014",85814.59,1155.7
"155",2522,"Switzerland","2015",8989.84,-76824.75
"170",2537,"Switzerland","Begin",37813.23,37813.23
"154",2522,"Switzerland","End",8989.84,0
